name,organ_system,key_gene_or_marker,aliases,potential_causes,cause_established,source
Uterine leiomyosarcoma,"Genitourinary, gynecologic and gestational",TP53,ULMS,"Largely sporadic with no established cause; recognized risk factors include prior pelvic radiation and hereditary leiomyomatosis and renal cell cancer syndrome (germline fumarate hydratase), and tamoxifen exposure is a weaker association. Most cases arise de novo, not from benign leiomyomas.",yes,
Uterine serous carcinoma,"Genitourinary, gynecologic and gestational",TP53,endometrial serous carcinoma; uterine papillary serous carcinoma,"A high-grade endometrial carcinoma usually arising in atrophic endometrium via serous endometrial intraepithelial carcinoma as the precursor; associated with older age, and a subset relates to germline TP53 (Li-Fraumeni) and tamoxifen or prior pelvic radiation exposure. Most cases have no single external cause.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; endometrial carcinoma changes to classification WHO 2020
Vaginal melanoma,"Genitourinary, gynecologic and gestational",,mucosal melanoma of the vagina,"A mucosal melanoma of largely unknown cause, not UV related; no established environmental, infectious, or hereditary etiologic factor.",no,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; comprehensive management of vulvovaginal cancers PMC12432818
Vaginal squamous cell carcinoma,"Genitourinary, gynecologic and gestational",,squamous cell carcinoma of the vagina,"Most cases are caused by high-risk human papillomavirus (chiefly HPV16) through vaginal intraepithelial neoplasia as the precursor; additional risk from prior cervical HPV disease, smoking, and pelvic radiation.",yes,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; comprehensive management of vulvovaginal cancers PMC12432818
Vulvar melanoma,"Genitourinary, gynecologic and gestational",KIT,mucosal melanoma of the vulva,"A mucosal or acral-type melanoma of largely unknown cause; unlike sun-exposed cutaneous melanoma it is not UV driven, and no established external cause is defined for most cases.",no,WHO Classification of Tumours 5th ed Female Genital Tumours 2020; Cancer Research UK types of vulval cancer
Wilms tumor,"Genitourinary, gynecologic and gestational",WT1,Nephroblastoma,"Mostly sporadic, but a subset is driven by germline predisposition including WT1-related syndromes (WAGR, Denys-Drash), Beckwith-Wiedemann syndrome (11p15 imprinting), and other overgrowth and DICER1 or Perlman syndromes; nephrogenic rests are the precursor lesion.",yes,
Acral lentiginous melanoma,"Skin, melanoma and endocrine",KIT,acral melanoma; ALM,"Cause is largely unknown; it occurs on palms, soles, and nail units and is NOT strongly linked to UV exposure, showing low UV mutational burden, with mechanical trauma proposed but not established as a cause.",no,
Adrenocortical carcinoma,"Skin, melanoma and endocrine",TP53,ACC; adrenal cortical carcinoma,"Most cases are sporadic with no established cause; a minority arise in hereditary syndromes, notably Li-Fraumeni syndrome (germline TP53), Beckwith-Wiedemann and IGF2 overexpression (a major driver of pediatric ACC), and Lynch syndrome, with MEN1 and familial adenomatous polyposis as rarer predispositions.",yes,
Advanced basal cell carcinoma,"Skin, melanoma and endocrine",PTCH1,metastatic basal cell carcinoma; locally advanced basal cell carcinoma,"Driven overwhelmingly by chronic UV/sun exposure activating the Hedgehog pathway (PTCH1/SMO); additional causes include prior radiation, arsenic exposure, immunosuppression, and germline PTCH1 mutations in Gorlin (nevoid basal cell carcinoma) syndrome.",yes,WHO Classification of Skin Tumours 5th ed (2023); Hedgehog pathway PTCH1/SMO (NEJM 2009 Von Hoff); metastasis rate <0.5%
Aggressive pituitary neuroendocrine tumor,"Skin, melanoma and endocrine",,aggressive PitNET; aggressive pituitary adenoma,"Cause is largely unknown; most arise sporadically, with a minority linked to hereditary syndromes such as MEN1 (germline MEN1), Carney complex (PRKAR1A), and AIP-related familial isolated pituitary adenoma; no environmental cause is established.",no,WHO Classification of Endocrine and Neuroendocrine Tumours 5th ed; ~0.5% of adenomas display aggressive course (PMC7303064)
Anaplastic thyroid carcinoma,"Skin, melanoma and endocrine",BRAF,Anaplastic thyroid cancer; undifferentiated thyroid carcinoma; ATC,"Frequently arises by dedifferentiation from a preexisting well-differentiated or poorly differentiated papillary or follicular thyroid carcinoma; long-standing goiter and prior radiation exposure are contributing risk factors, and TP53 plus BRAF/RAS mutations accumulate during progression.",yes,
Apocrine carcinoma of skin,"Skin, melanoma and endocrine",,cutaneous apocrine carcinoma,"Cause is unknown; this rare sweat gland malignancy arises most often in apocrine-rich areas (axilla, anogenital region) but has no established environmental, infectious, or hereditary etiology, and most cases are sporadic.",no,WHO Classification of Skin Tumours 5th ed (2023); Orphanet
Atypical fibroxanthoma,"Skin, melanoma and endocrine",TP53,AFX,"Arises on chronically sun-damaged skin of the head and neck in elderly patients and carries UV-signature TP53 mutations, implicating cumulative UV exposure; prior radiation and immunosuppression (organ transplant) are additional established risk factors.",yes,WHO Classification of Skin Tumours 5th ed (2023); UV-induced TP53 mutations (PMID 32540221)
Carotid body paraganglioma,"Skin, melanoma and endocrine",SDHD,carotid body tumor; chemodectoma,"Caused both by germline SDHx mutations (classically SDHD in hereditary paraganglioma type 1, also SDHB/SDHC) and by chronic hypoxic stimulation of the carotid body, as in long-term high-altitude residence or chronic hypoxemic lung disease.",yes,WHO Classification of Endocrine and Neuroendocrine Tumours 5th ed; Orphanet; SDHD germline (head and neck paraganglioma)
Conjunctival melanoma,"Skin, melanoma and endocrine",BRAF,melanoma of conjunctiva,"Often arises from preexisting primary acquired melanosis (conjunctival melanocytic intraepithelial neoplasia) as a precursor lesion; UV/sun exposure is a proposed contributing factor, and it carries UV-signature and BRAF mutations in a subset.",yes,WHO Classification; Orphanet; BRAF ~35% (PMID 27009410); incidence ~0.5 per million
Cutaneous angiosarcoma,"Skin, melanoma and endocrine",MYC,angiosarcoma of skin,Two well-established etiologic settings account for many cases: prior therapeutic radiation (for example post-breast-radiation chest wall angiosarcoma) and chronic lymphedema (Stewart-Treves syndrome); the remaining idiopathic scalp/face angiosarcomas of the elderly are linked to chronic sun exposure.,yes,WHO Classification of Skin Tumours 5th ed (2023); Orphanet; MYC amplification in radiation/lymphedema-associated
Dermatofibrosarcoma protuberans,"Skin, melanoma and endocrine",COL1A1-PDGFB,DFSP; Fibrosarcomatous dermatofibrosarcoma protuberans,"Defined by a somatic COL1A1-PDGFB gene fusion but has no established environmental or hereditary cause; the vast majority are sporadic, with prior trauma or scar reported only anecdotally and inconsistently.",no,
Desmoplastic melanoma,"Skin, melanoma and endocrine",NF1,neurotropic melanoma,"Strongly linked to cumulative UV exposure, arising on chronically sun-damaged skin of the head and neck of older adults and carrying one of the highest UV mutational burdens of any melanoma subtype.",yes,WHO Classification of Skin Tumours 5th ed (2023); NF1 in >50% (PMID 26076063); NFKBIE promoter (Nat Genet 2015)
Digital papillary adenocarcinoma,"Skin, melanoma and endocrine",BRAF,aggressive digital papillary adenocarcinoma,"Cause is unknown; this aggressive sweat gland carcinoma characteristically arises on the fingers, palms, toes, and soles, but no environmental, occupational, or hereditary etiologic factor has been established and cases are sporadic.",no,WHO Classification of Skin Tumours 5th ed (2023); Orphanet; HPV42-associated (Leiendecker 2023 Cancer Discov)
Eccrine carcinoma,"Skin, melanoma and endocrine",,eccrine adenocarcinoma; sweat gland carcinoma,"Cause is largely unknown; this heterogeneous group of malignant eccrine sweat gland tumors is mostly sporadic, with no consistently established environmental or hereditary cause, although radiation and immunosuppression are occasionally implicated.",no,WHO Classification of Skin Tumours 5th ed (2023); Orphanet
Endocrine mucin-producing sweat gland carcinoma,"Skin, melanoma and endocrine",,EMPSGC,"Cause is not established; this low-grade periocular sweat gland carcinoma, thought to arise from apocrine glands and considered a precursor of some primary cutaneous mucinous carcinomas, occurs sporadically in older adults with no identified risk factor.",no,"WHO Classification of Skin Tumours 5th ed (2023); systematic review 110 cases (Abdulkader 2021 J Dermatolog Treat, PMID 34057875)"
Extra-adrenal retroperitoneal paraganglioma,"Skin, melanoma and endocrine",SDHB,organ of Zuckerkandl paraganglioma; sympathetic paraganglioma,"Strongly hereditary, most commonly driven by germline SDHx mutations (especially SDHB, which predisposes to extra-adrenal and malignant paragangliomas), along with VHL, NF1, and other susceptibility genes; the remainder are sporadic.",yes,WHO Classification of Endocrine and Neuroendocrine Tumours 5th ed; SDHB confers highest metastatic risk (PMC10029328)
Extramammary Paget disease,"Skin, melanoma and endocrine",ERBB2 (HER2),extramammary Paget's disease; EMPD,"Most cases are primary intraepithelial adenocarcinomas of unknown cause arising in apocrine-gland-rich skin (vulva, perianal, scrotal); a minority are secondary, representing epidermal spread from an underlying regional adenocarcinoma (for example anorectal or urothelial), which is the identifiable cause in those cases.",yes,WHO Classification of Skin Tumours 5th ed (2023); Orphanet; HER2 in 30-60% (PMC7761697)
Hidradenocarcinoma,"Skin, melanoma and endocrine",CRTC1-MAML2,malignant hidradenoma; clear cell hidradenocarcinoma,"Can arise by malignant transformation of a preexisting benign hidradenoma (sweat gland tumor), but most cases have no established external cause and occur sporadically.",no,WHO Classification of Skin Tumours 5th ed (2023); Orphanet
Lentigo maligna melanoma,"Skin, melanoma and endocrine",NF1,Hutchinson melanotic freckle melanoma,"Directly caused by long-term cumulative UV/sun exposure, developing from a lentigo maligna (in situ) precursor on chronically sun-damaged skin of the face and head in older adults.",yes,WHO Classification of Skin Tumours 5th ed (2023); chronic sun-damage (CSD) pathway
Malignant peripheral nerve sheath tumor,"Skin, melanoma and endocrine",NF1,MPNST; neurofibrosarcoma; Malignant schwannoma,"About half arise in patients with neurofibromatosis type 1 (germline NF1), typically via malignant transformation of a preexisting plexiform neurofibroma; prior therapeutic radiation is another established cause, and the remainder are sporadic.",yes,
Medullary thyroid carcinoma,"Skin, melanoma and endocrine",RET,MTC; C-cell carcinoma of thyroid,"About a quarter are hereditary, caused by germline activating mutations in the RET proto-oncogene in MEN2A, MEN2B, and familial MTC; the remaining sporadic cases carry somatic RET or RAS mutations and have no established environmental cause.",yes,
Melanoma arising in blue nevus,"Skin, melanoma and endocrine",GNAQ,malignant blue nevus,"Arises by malignant transformation of a preexisting cellular blue nevus (the identifiable precursor lesion); it is driven by GNAQ/GNA11 mutations, is not UV-related, and has no established environmental cause otherwise.",yes,"WHO Classification of Skin Tumours 5th ed (2023); GNAQ/GNA11, BAP1 loss"
Merkel cell carcinoma,"Skin, melanoma and endocrine",Merkel cell polyomavirus,MCC; primary cutaneous neuroendocrine carcinoma,"Two established causal pathways: clonal integration of Merkel cell polyomavirus (about 80 percent of cases) and UV-induced DNA damage in virus-negative tumors; chronic immunosuppression (HIV, transplant, older age) is a strong additional risk factor.",yes,
Microcystic adnexal carcinoma,"Skin, melanoma and endocrine",,sclerosing sweat duct carcinoma; MAC,"Cause is not firmly established, but the strongest associations are prior therapeutic or ionizing radiation to the site (often with decades of latency) and chronic UV/sun exposure of the head and neck; immunosuppression is a possible contributor.",yes,WHO Classification of Skin Tumours 5th ed (2023); SEER incidence ~0.5 per million (Uptodate/Medscape)
Mucosal melanoma,"Skin, melanoma and endocrine",KIT,primary mucosal melanoma,"Cause is largely unknown; unlike cutaneous melanoma it is NOT associated with UV exposure and lacks a UV mutational signature, arising sporadically from mucosal melanocytes of the head/neck, anogenital, and other sites.",no,
Nevoid melanoma,"Skin, melanoma and endocrine",,minimal deviation melanoma,"Cause is not specifically established; this rare melanoma that histologically mimics a benign nevus occurs sporadically, and no distinct etiologic factor beyond the general melanoma risk factors (including UV exposure) has been defined for the subtype.",no,WHO Classification of Skin Tumours 5th ed (2023)
Paraganglioma,"Skin, melanoma and endocrine",SDHD,extra-adrenal paraganglioma; glomus tumor of head and neck,"The most heritable of all human tumors, with germline mutations in SDHx (especially SDHD and SDHB), VHL, RET, NF1, MAX, and TMEM127; head and neck paragangliomas are additionally promoted by chronic hypoxia such as high-altitude residence.",yes,
Parathyroid carcinoma,"Skin, melanoma and endocrine",CDC73,parathyroid gland carcinoma,"Most cases are driven by inactivation of the CDC73 (HRPT2) gene, occurring somatically in sporadic tumors or as a germline mutation in hyperparathyroidism-jaw tumor syndrome; MEN1 and prior neck irradiation are additional predisposing factors.",yes,WHO Classification of Endocrine and Neuroendocrine Tumours 5th ed; incidence ~3.5-5.7 per 10 million (SEER PMC8946517); CDC73/HRPT2
Pheochromocytoma,"Skin, melanoma and endocrine",SDHB,adrenal medullary paraganglioma; intra-adrenal paraganglioma,"Up to 40 percent are driven by germline predisposition, most often mutations in SDHx (SDHB, SDHD, SDHC), VHL, RET (MEN2), NF1 (neurofibromatosis type 1), MAX, and TMEM127; the remainder are sporadic with no external environmental cause.",yes,
Pilomatrix carcinoma,"Skin, melanoma and endocrine",CTNNB1,pilomatrical carcinoma; malignant pilomatricoma,"Cause is largely unknown; the malignant counterpart of pilomatricoma, it is driven by activating CTNNB1 (beta-catenin) mutations but has no established environmental or hereditary etiologic factor, and most cases are sporadic.",no,WHO Classification of Skin Tumours 5th ed (2023); Orphanet
Pituitary carcinoma,"Skin, melanoma and endocrine",TP53,metastatic pituitary neuroendocrine tumor; malignant pituitary tumor,"Cause is largely unknown; these very rare tumors nearly always arise by malignant progression from a preexisting aggressive pituitary adenoma/neuroendocrine tumor rather than de novo, and no consistent environmental or hereditary etiology has been established (rare cases occur in MEN1 or AIP-related settings).",no,WHO Classification of Endocrine and Neuroendocrine Tumours 5th ed; ~0.2% of pituitary tumors (PMC9493437); defined by craniospinal/distant metastasis
Pleomorphic dermal sarcoma,"Skin, melanoma and endocrine",TP53,superficial malignant fibrous histiocytoma; PDS,"Occurs on severely sun-damaged skin of the head and neck in elderly patients and harbors UV-induced TP53 driver mutations, implicating chronic UV exposure; prior radiation and immunosuppression are additional risk factors, and it is a more aggressive relative of atypical fibroxanthoma.",yes,"WHO Classification of Skin Tumours 5th ed (2023); recurrent UV-induced TP53, PIK3CA, RAS (PMID 32540221)"
Poorly differentiated thyroid carcinoma,"Skin, melanoma and endocrine",TP53,insular carcinoma of thyroid; PDTC,"Typically arises by progression/dedifferentiation from a preexisting well-differentiated papillary or follicular thyroid carcinoma; prior radiation exposure and long-standing goiter are contributing risk factors, with RAS, TP53, and TERT promoter mutations accumulating during progression.",yes,WHO Classification of Endocrine and Neuroendocrine Tumours 5th ed (Turin criteria); RAS/BRAF/TP53/CTNNB1 (PMC7286943)
Porocarcinoma,"Skin, melanoma and endocrine",YAP1,malignant poroma; eccrine porocarcinoma,"Frequently arises by malignant transformation of a preexisting benign poroma (eccrine sweat gland tumor); prior radiation, chronic sun exposure, and immunosuppression are reported risk factors, though many cases develop de novo.",yes,WHO Classification of Skin Tumours 5th ed (2023); Orphanet; YAP1 fusions (Sekine 2019 J Clin Invest)
Primary cutaneous adenoid cystic carcinoma,"Skin, melanoma and endocrine",MYB,cutaneous adenoid cystic carcinoma,"Cause is unknown; this rare cutaneous adnexal carcinoma occurs sporadically, chiefly on the scalp and chest of adults, and no environmental, infectious, or hereditary etiologic factor has been established.",no,WHO Classification of Skin Tumours 5th ed (2023); Orphanet; MYB-NFIB fusion
Primary cutaneous cribriform carcinoma,"Skin, melanoma and endocrine",,cribriform tumor of skin,"Cause is unknown; consensus on etiology has not been reached for this rare low-grade cutaneous apocrine (cribriform) carcinoma, which arises sporadically on the extremities with no identified environmental or hereditary risk factor.",no,WHO Classification of Skin Tumours 5th ed (2023); downgraded to cribriform tumor in 5th ed
Primary cutaneous mucinous carcinoma,"Skin, melanoma and endocrine",,cutaneous mucinous carcinoma; PCMC,"Cause is unknown; this rare low-grade sweat gland carcinoma (some cases evolving from endocrine mucin-producing sweat gland carcinoma) occurs sporadically, most often on the head and neck of older adults, with no established etiologic factor.",no,WHO Classification of Skin Tumours 5th ed (2023); incidence <0.1 per million (PathologyOutlines; PMC3481811)
Sebaceous carcinoma,"Skin, melanoma and endocrine",TP53,sebaceous gland carcinoma; meibomian gland carcinoma,"Most periocular cases are sporadic, but a significant subset arises in Muir-Torre syndrome, a variant of Lynch syndrome caused by germline mismatch repair mutations (MSH2, MLH1); UV exposure and prior radiation are additional risk factors.",yes,
Spiradenocarcinoma,"Skin, melanoma and endocrine",ALPK1,malignant spiradenoma,"Classically arises by malignant transformation of a long-standing benign spiradenoma or spiradenocylindroma, sometimes in the setting of Brooke-Spiegler syndrome (germline CYLD); otherwise no established environmental cause.",yes,WHO Classification of Skin Tumours 5th ed (2023); Orphanet; arises in CYLD-mutant lesions
Spitz melanoma,"Skin, melanoma and endocrine",ROS1,spitzoid melanoma; malignant Spitz tumor,"Cause is unknown; this melanoma with Spitzoid morphology is defined by kinase gene fusions (for example ALK, ROS1, NTRK1, BRAF) rather than UV damage, shows a low UV mutational burden, and has no established environmental or hereditary etiologic factor.",no,WHO Classification of Skin Tumours 5th ed (2023); kinase fusions ROS1/ALK/NTRK1/RET/BRAF (Lab Invest 2017)
Trichilemmal carcinoma,"Skin, melanoma and endocrine",,malignant trichilemmal tumor,"Generally arises on chronically sun-damaged skin of elderly patients, implicating cumulative UV exposure; it is otherwise sporadic with no established hereditary cause and follows an indolent course.",yes,WHO Classification of Skin Tumours 5th ed (2023); Orphanet
Uveal melanoma,"Skin, melanoma and endocrine",GNAQ,Ocular melanoma; Choroidal melanoma; intraocular melanoma,"Largely of unknown cause and, unlike cutaneous melanoma, not clearly linked to UV exposure; established risk factors are light iris/skin color, oculodermal melanocytosis (nevus of Ota), and BAP1 tumor predisposition syndrome (germline BAP1), with driver mutations in GNAQ/GNA11.",yes,
Well-differentiated neuroendocrine tumor of the pancreas,"Skin, melanoma and endocrine",MEN1,pancreatic neuroendocrine tumor; islet cell tumor; PanNET,"Most are sporadic with no established cause; a minority arise in hereditary syndromes, notably MEN1 (germline MEN1), von Hippel-Lindau disease (VHL), neurofibromatosis type 1 (NF1), and tuberous sclerosis (TSC1/TSC2).",yes,"WHO Classification of Endocrine and Neuroendocrine Tumours 5th ed; MEN1-associated; incidence <1 per 100,000 (RARECAREnet)"
Adult fibrosarcoma,Soft tissue sarcoma,Complex karyotype,Fibrosarcoma NOS,Cause not established; arises sporadically as a diagnosis of exclusion with no defining genetic alteration and no consistent inherited or environmental cause; prior therapeutic radiation can rarely precede fibrosarcoma at an irradiated site.,no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Alveolar rhabdomyosarcoma,Soft tissue sarcoma,PAX3-FOXO1,ARMS,"Cause not established; arises sporadically. The defining PAX3::FOXO1 or PAX7::FOXO1 fusion is a somatic event, not an inherited or environmental cause; a minority of rhabdomyosarcomas occur in cancer predisposition syndromes such as Li-Fraumeni (germline TP53), DICER1, and neurofibromatosis type 1.",no,
Alveolar soft part sarcoma,Soft tissue sarcoma,ASPSCR1-TFE3,ASPS,"Cause not established; arises sporadically. The defining ASPSCR1::TFE3 fusion is a somatic event, not an inherited or environmental cause.",no,
Angiomatoid fibrous histiocytoma,Soft tissue sarcoma,EWSR1::CREB1; EWSR1::ATF1; FUS::ATF1,AFH,"Cause not established; arises sporadically. The defining EWSR1::CREB1 (or EWSR1::ATF1 / FUS::ATF1) fusion is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Angiosarcoma,Soft tissue sarcoma,MYC,Soft tissue angiosarcoma; Radiation-associated angiosarcoma,"Several established etiologic factors exist: prior therapeutic radiation (including secondary breast angiosarcoma), chronic lymphedema (Stewart-Treves syndrome after mastectomy), and industrial vinyl chloride or Thorotrast exposure for hepatic angiosarcoma; ultraviolet exposure is linked to cutaneous head and neck angiosarcoma.",yes,
Biphenotypic sinonasal sarcoma,Soft tissue sarcoma,PAX3::MAML3; PAX3::FOXO1,Low-grade sinonasal sarcoma with neural and myogenic features,"Cause not established; arises sporadically in the sinonasal tract. The defining PAX3::MAML3 (or other PAX3) fusion is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
CIC-rearranged sarcoma,Soft tissue sarcoma,CIC::DUX4; CIC::FOXO4; CIC::NUTM1,CIC-DUX4 sarcoma,"Cause not established; arises sporadically. The defining CIC::DUX4 (or other CIC) fusion is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Clear cell sarcoma of soft tissue,Soft tissue sarcoma,EWSR1::ATF1,Malignant melanoma of soft parts,"Cause not established; arises sporadically. The defining EWSR1::ATF1 (or EWSR1::CREB1) fusion is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Composite hemangioendothelioma,Soft tissue sarcoma,PTBP1::MAML2 (neuroendocrine variant),,Cause not established; arises sporadically as a rare low-grade vascular tumor with no recognized inherited or environmental cause.,no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Dedifferentiated liposarcoma,Soft tissue sarcoma,MDM2 amplification; CDK4 amplification,DDLPS,"Cause not established; arises sporadically. The characteristic MDM2/CDK4 amplification is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Desmoid-type fibromatosis,Soft tissue sarcoma,CTNNB1; APC,Aggressive fibromatosis; Desmoid tumor,"Most cases are sporadic driven by somatic CTNNB1 (beta-catenin) mutation, but a recognized subset arises in familial adenomatous polyposis (germline APC mutation, Gardner syndrome); pregnancy, prior trauma, and surgery are reported associations.",yes,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Desmoplastic small round cell tumor,Soft tissue sarcoma,EWSR1-WT1,DSRCT,"Cause not established; arises sporadically. The defining EWSR1::WT1 fusion is a somatic event, not an inherited or environmental cause.",no,
Ectomesenchymoma,Soft tissue sarcoma,HRAS; PAX3::FOXO1,,Cause not established; arises sporadically as a rare pediatric tumor with rhabdomyoblastic and neuronal elements and no recognized inherited or environmental cause.,no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Embryonal rhabdomyosarcoma,Soft tissue sarcoma,MYOD1; PAX7; 11p15 LOH; RAS pathway,ERMS,"Mostly sporadic with no established cause, but this is the rhabdomyosarcoma subtype most strongly linked to germline cancer predisposition syndromes, including Li-Fraumeni (germline TP53), DICER1 syndrome, Costello syndrome (HRAS), neurofibromatosis type 1, and Beckwith-Wiedemann syndrome.",yes,
Epithelioid hemangioendothelioma,Soft tissue sarcoma,WWTR1-CAMTA1,EHE,"Cause not established; arises sporadically. The defining WWTR1::CAMTA1 (or YAP1::TFE3) fusion is a somatic event, not an inherited or environmental cause.",no,
Epithelioid inflammatory myofibroblastic sarcoma,Soft tissue sarcoma,RANBP2::ALK,Epithelioid IMS,"Cause not established; arises sporadically. It is driven by somatic ALK gene rearrangement (often RANBP2::ALK), which is an acquired event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Epithelioid sarcoma,Soft tissue sarcoma,SMARCB1,Proximal-type epithelioid sarcoma; Distal-type epithelioid sarcoma,"Cause not established; arises sporadically. The characteristic biallelic somatic inactivation of SMARCB1 (INI1) is an acquired event, not an inherited or environmental cause.",no,
Extrarenal rhabdoid tumor,Soft tissue sarcoma,SMARCB1 (INI1) loss,Malignant extrarenal rhabdoid tumor,"Most cases are sporadic driven by biallelic somatic SMARCB1 (INI1) inactivation, but a substantial subset arises in the rhabdoid tumor predisposition syndrome from a germline SMARCB1 (or rarely SMARCA4) mutation.",yes,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Extraskeletal Ewing sarcoma,Soft tissue sarcoma,EWSR1::FLI1; EWSR1::ERG,Extraosseous Ewing sarcoma,"Cause not established; arises sporadically. The defining EWSR1::FLI1 (or EWSR1::ERG) fusion is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Extraskeletal myxoid chondrosarcoma,Soft tissue sarcoma,NR4A3,,"Cause not established; arises sporadically. The defining EWSR1::NR4A3 (or TAF15::NR4A3) fusion is a somatic event, not an inherited or environmental cause.",no,
Extraskeletal osteosarcoma,Soft tissue sarcoma,Complex karyotype; TP53,Soft tissue osteosarcoma,"Most cases are sporadic with complex genomic changes and no established cause, but prior therapeutic radiation to the site is a recognized risk factor for a subset of extraskeletal osteosarcomas.",yes,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Infantile fibrosarcoma,Soft tissue sarcoma,ETV6::NTRK3,Congenital fibrosarcoma,"Cause not established; arises sporadically in infants. The defining ETV6::NTRK3 fusion is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Inflammatory myofibroblastic tumor,Soft tissue sarcoma,ALK,IMT; Inflammatory fibrosarcoma,"Cause not established; arises sporadically. It is driven by somatic kinase gene rearrangements (most often ALK, also ROS1, NTRK, PDGFRB), which are acquired events, not an inherited or environmental cause.",no,
Intimal sarcoma,Soft tissue sarcoma,MDM2 amplification; PDGFRA; EGFR amplification,,"Cause not established; arises sporadically within large blood vessels or the heart, with recurrent somatic MDM2 amplification that is acquired, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Kaposi sarcoma,Soft tissue sarcoma,HHV-8,KS,"Caused by human herpesvirus 8 (HHV-8 / KSHV) infection, which is necessary for all clinical forms; disease develops in the setting of immunosuppression, most notably HIV coinfection (amplifying risk several hundred to thousand fold) and iatrogenic immunosuppression after solid organ transplant.",yes,
Leiomyosarcoma,Soft tissue sarcoma,TP53,Soft tissue leiomyosarcoma,"Most cases are sporadic with no established cause, but a subset arises in hereditary cancer syndromes, chiefly Li-Fraumeni syndrome (germline TP53) and hereditary retinoblastoma (germline RB1); prior therapeutic radiation is also a recognized risk factor for radiation-associated leiomyosarcoma.",yes,
Low-grade fibromyxoid sarcoma,Soft tissue sarcoma,FUS::CREB3L2; FUS::CREB3L1,LGFMS; Evans tumor,"Cause not established; arises sporadically. The defining FUS::CREB3L2 (or FUS::CREB3L1) fusion is a somatic event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
Malignant glomus tumor,Soft tissue sarcoma,NOTCH gene fusions; BRAF; MIR143::NOTCH2,Glomangiosarcoma,"Most cases are sporadic with no established cause, though multiple/familial glomus tumors can occur with germline glomulin (GLMN) mutation; malignant transformation itself has no recognized inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Malignant granular cell tumor,Soft tissue sarcoma,ATP6AP1/ATP6AP2 loss,Malignant Abrikossoff tumor,"Cause not established; arises sporadically, usually as a rare malignant counterpart of the Schwann cell derived granular cell tumor, with no recognized inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Malignant myoepithelioma of soft tissue,Soft tissue sarcoma,EWSR1 rearrangement; FUS rearrangement,Myoepithelial carcinoma of soft tissue,"Cause not established; arises sporadically, frequently with somatic EWSR1 (or FUS) gene rearrangement, which is an acquired event, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Malignant ossifying fibromyxoid tumor,Soft tissue sarcoma,"PHF1 fusions (EP400::PHF1, EPC1::PHF1)",Malignant OFMT,"Cause not established; arises sporadically with recurrent somatic PHF1 gene rearrangement that is acquired, not an inherited or environmental cause.",no,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet
Malignant perivascular epithelioid cell tumor,Soft tissue sarcoma,TSC1/TSC2 loss; TFE3 fusions,Malignant PEComa; PEComa NOS,"Most cases are sporadic with no established cause, but a subset arises in the tuberous sclerosis complex (germline TSC1 or TSC2 mutation), consistent with the recurrent somatic TSC pathway alterations seen in these tumors.",yes,WHO Classification of Tumours 5th ed Soft Tissue & Bone; Orphanet; NCI
